"Course","Prioritization","Requires Subscription","Title","Video URL","Creation Date","Modified Date","unique id"
"Product Management Fundamentals","12.2","no","Effective communication techniques","938e77d0361546f0b920a501f22b7639","Aug 24, 2024 3:55 pm","Dec 20, 2024 1:28 pm","1724529304293x565038389510954300"
"Product Management Fundamentals","12.3","no","Leading cross-functional teams","267bb7969abf494d8f7a235f8459e3c8","Aug 24, 2024 3:55 pm","Dec 20, 2024 1:27 pm","1724529329369x883848945091501700"
"Product Management Fundamentals","12.4","no","Managing conflict and negotiation","81baa2bf93da4665bbd984de62f3ec58","Aug 24, 2024 3:55 pm","Dec 20, 2024 1:27 pm","1724529348319x719577415291083800"
"Product Management Fundamentals","12.5","no","Influencing without authority","10089b41451144acb4e9a003f176d013","Aug 24, 2024 3:56 pm","Dec 20, 2024 1:27 pm","1724529377014x371648353711462100"
"Product Management Fundamentals","13.1","no","Key skills / competencies for PMs","02c32d0d56a245338f80f7c954f2a9b9","Aug 24, 2024 3:56 pm","Dec 20, 2024 1:27 pm","1724529403123x955972073028629900"
"Product Management Fundamentals","13.2","no","Networking and personal branding","52594845c663415b94cb977d167c2f6b","Aug 24, 2024 3:57 pm","Dec 20, 2024 1:27 pm","1724529424436x129025246948911260"
"Nail the PM Interviews","2","no","Types of PM Interview Questions","e6e2e9e890ba4a22abb44017f1c4414d","Feb 23, 2025 3:59 pm","Feb 23, 2025 4:29 pm","1740344387888x194444915645264400"
"Nail the PM Interviews","4","yes","Interview Grading Rubrics","d76401b01b66419da3d0253f8e14d5b8","Feb 23, 2025 4:01 pm","Feb 23, 2025 4:29 pm","1740344462016x757636030529749600"
"Nail the PM Interviews","7","yes","Framework: Loop Method","154165cb511c4447879178f344469ad1","Feb 23, 2025 4:09 pm","Feb 23, 2025 4:29 pm","1740344980831x637433263875246200"
"Nail the PM Interviews","8","yes","Framework: Diamond Method","2dc20a8c8303450ca1a728353d15044c","Feb 23, 2025 4:10 pm","Feb 23, 2025 4:29 pm","1740345018369x856918021698014100"
"Nail the PM Interviews","9","yes","Framework: Listicle Method","00cc14f718e34a3194e9549303442977","Feb 23, 2025 4:10 pm","Feb 23, 2025 4:30 pm","1740345044080x923850383627156200"
"Nail the PM Interviews","10","yes","How to Pause & Brainstorm","64968478e5204836ab68d77dd4e53f2e","Feb 23, 2025 4:11 pm","Feb 23, 2025 4:30 pm","1740345066591x482574999551306900"
"Nail the PM Interviews","11","yes","How to Ask Clarifying Questions","879928c1612844738eea4a77c2aeb68f","Feb 23, 2025 4:11 pm","Feb 23, 2025 4:30 pm","1740345098958x107720389865038740"
